time;no calibration;calibration with FGL;calibration without FGL;simple feedback calibration;
12.15;-1.01682510744438;-0.892411247549339;-3.52215705438901;-26.7703503277566;
12.2;-1.02917444160837;-0.899464156288647;-3.4474191025604;-26.5900193430984;
12.25;-1.0403141958226;-0.905215914885395;-3.34418683933931;-26.3736256613119;
12.3;-1.05397235594003;-0.914224650776599;-3.21547666143937;-26.1262776172264;
12.35;-1.06170131646452;-0.919427800505696;-3.05295556035262;-25.8425019196677;
12.4;-1.0564504754372;-0.908149064257208;-2.84242061559298;-25.5040608951775;
12.45;-1.07717602868329;-0.923692917491415;-2.69005016216066;-25.1551896165352;
12.5;-1.07327748602483;-0.91298465596406;-2.56387842223881;-24.7370242535623;
12.55;-1.09109895972447;-0.923059779932798;-2.42417860649087;-24.2965514557707;
12.6;-1.09994678341603;-1.06060118736095;-2.47504709211467;-24.3090373719917;
12.65;-1.11842833471811;-1.21570383569281;-2.62115204584415;-24.447545339956;
12.7;-1.10305857031179;-1.28294390374066;-2.68756830262968;-24.5123638793431;
12.75;-1.09318442551149;-1.32849769094358;-2.73303802495474;-24.556861284119;
12.8;-1.11395459105973;-1.39124486950759;-2.7957695090496;-24.618724210101;
12.85;-1.09981660742631;-1.40860990561501;-2.81312729519859;-24.6355069560617;
12.9;-1.12009900329689;-1.45406673300367;-2.85858220059302;-24.6806672085143;
12.95;-1.07547707630712;-1.4281598298952;-2.83267098570443;-24.6547208987511;
13;-1.10790707397874;-1.47567858285241;-2.88018389215249;-24.702394422489;
13.05;-1.13687023568434;-1.51744137814264;-2.92194232646394;-24.7444925852128;
13.1;-1.05062420230327;-1.44037658028371;-2.84487655458793;-24.6678476959275;
13.15;-1.1079349900916;-1.50519231010305;-2.90969223148488;-24.7332044862492;
13.2;-1.16635626195534;-1.57057270871971;-2.97507845538473;-24.7992804315274;
13.25;-1.09878703677367;-1.50881069823676;-2.91332089358819;-24.7382445993356;
13.3;-0.969511431473721;-1.382841915631;-2.78735580125398;-24.6129032912305;
13.35;-0.960938277942196;-1.37675414593466;-2.78126691679011;-24.6074334236568;
13.4;-1.06812691293879;-1.4865352472544;-2.89104303992262;-24.7179996045308;
13.45;-0.840100726203239;-1.26003024327101;-2.66453591804227;-24.4920801176838;
13.5;-0.915297807315689;-1.33675912752385;-2.74126177276389;-24.569416444796;
13.55;-0.944639615972417;-1.36696349865298;-2.77146130057947;-24.6003355057223;
13.6;-1.01832139410707;-1.44172415637162;-2.84621812716098;-24.6759505334722;
13.65;-1.05388969978738;-1.47828028370272;-2.88276927145827;-24.713465036675;
13.7;-0.999992559226544;-1.42519500489642;-2.82968561909762;-24.6612907565172;
13.75;-0.978941457540997;-1.40474752854958;-2.80923943733852;-24.6417120608843;
13.8;-1.08084251284791;-1.50723254035312;-2.91172774394388;-24.7452285558807;
13.85;-1.06670877677216;-1.49360868257098;-2.89810748241752;-24.7326760500787;
13.9;-1.08184358153659;-1.50914264663628;-2.91363947847355;-24.7492937897249;
13.95;-1.09460830066907;-1.52226893490318;-2.92676407139905;-24.7635400885027;
14;-1.07156246545534;-1.49950087645501;-2.90399296903482;-24.7418646664022;
14.05;-1.07432879891834;-1.50248979658544;-2.90697844295634;-24.7459396985443;
14.1;-1.05544289659509;-1.48383993279353;-2.88832690579909;-24.7283566269251;
14.15;-1.06738276884886;-1.49593360149277;-2.90041952834866;-24.7415262826411;
14.2;-1.06345383629248;-1.49214838393603;-2.89663454263349;-24.738817484449;
14.25;-1.05432616570096;-1.48314377538948;-2.88763076432509;-24.7308754040362;
14.3;-1.06731494144704;-1.49621462096335;-2.90070125862782;-24.7450254696978;
14.35;-1.06115098855747;-1.49012906138293;-2.89461328126901;-24.7400202522789;
14.4;-1.06713092161189;-1.4961664136857;-2.90064950849056;-24.7471398570999;
14.45;-1.06008976847278;-1.48918188109688;-2.89366666445684;-24.7412338002807;
14.5;-1.06026036897457;-1.48937442104099;-2.89386197248655;-24.7425039391168;
14.55;-1.05367778722914;-1.48285360590958;-2.8873440077312;-24.737050778497;
14.6;-1.06959504358473;-1.49881063334216;-2.903301126161;-24.75409424258;
14.65;-1.08627398643334;-1.51552342976763;-2.92001514647615;-24.7719320082541;
14.7;-1.09828078606938;-1.52753735361167;-2.93202933875411;-24.7850957630975;
14.75;-1.11165113016957;-1.54091423967124;-2.94540577767297;-24.7996459315081;
14.8;-1.10797143183075;-1.53725672763892;-2.94174938878995;-24.7971547255352;
14.85;-1.1322502993248;-1.56155245227336;-2.9660422512003;-24.8226530974513;
14.9;-1.14460271093545;-1.57391148155872;-2.97840414629487;-24.8362417433606;
14.95;-1.1591804055329;-1.58849228079799;-2.99298925339485;-24.8520780076327;
15;-1.17498249949627;-1.6043179192415;-3.00881696606803;-24.8691848710837;
15.05;-1.18646357463686;-1.61578636318864;-3.02028765007103;-24.8819487879116;
15.1;-1.19558063574401;-1.62492926209264;-3.02943079549479;-24.8923993614621;
15.15;-1.2121506501052;-1.6415139752398;-3.04600752868386;-24.9103048136895;
15.2;-1.20957898121663;-1.63893707530622;-3.04342350831115;-24.9090388589503;
15.25;-1.22746194314841;-1.65682866320018;-3.06131016765806;-24.9282653518545;
15.3;-1.21822521718599;-1.64758404241536;-3.0520652280784;-24.920337660264;
15.35;-1.20871550042808;-1.63808317467469;-3.04256116832184;-24.9121185124363;
15.4;-1.19009298094712;-1.61945475974544;-3.02392806886799;-24.8947227404198;
15.45;-1.19386954735014;-1.62323408244315;-3.0277071003849;-24.8997234563323;
15.5;-1.17918758665946;-1.60854454267272;-3.01301624789081;-24.8862328129371;
15.55;-1.16927112346353;-1.59860033947379;-3.00307821044456;-24.8774553879737;
15.6;-1.17563164324264;-1.60473528635116;-3.00921125196766;-24.884757220536;
15.65;-1.17571245211859;-1.60507581336172;-3.00954985085126;-24.8862638559174;
15.7;-1.2039659401109;-1.63332340688679;-3.03779333530434;-24.9157181143548;
15.75;-1.12355462113611;-1.55291091689947;-2.95738354258278;-24.8363887793919;
15.8;-1.10754962810094;-1.53683194953404;-2.94130135679536;-24.8213173087498;
15.85;-1.10304132052421;-1.53225674630965;-2.93672403188755;-24.8177460686804;
15.9;-1.12605958756053;-1.5556558172132;-2.96012594270489;-24.8421896343876;
15.95;-1.20547475244557;-1.63482778210708;-3.03929811529451;-24.9225462415425;
16;-1.08676564345055;-1.51611471516949;-2.92058415148057;-24.8048560730597;
16.05;-1.06346665176316;-1.49279277720892;-2.89726048606784;-24.78244989772;
16.1;-1.00937194243898;-1.43882686530624;-2.84328988540816;-24.7293146727776;
16.15;-1.01962254196109;-1.4489445012911;-2.85341057838977;-24.7402654672083;
16.2;-1.14915930975421;-1.57844723919399;-2.98292029571687;-24.8708301748579;
16.25;-1.11394035788529;-1.54325699523147;-2.9477307763105;-24.8367051363423;
16.3;-1.09652733350787;-1.52585504744999;-2.93032977290977;-24.8203137441922;
16.35;-1.11479997813799;-1.54411803720702;-2.94859090913501;-24.8396047051751;
16.4;-1.17475331992799;-1.60408479002387;-3.00855801799704;-24.9007116607968;
16.45;-1.19520718140612;-1.62452647154994;-3.02900690964406;-24.9223571475574;
16.5;-1.16009466614038;-1.58942394167332;-2.99390199547127;-24.8883987145244;
16.55;-1.18383779178302;-1.61315605907953;-3.01762771218301;-24.9132886637268;
16.6;-1.15147785117052;-1.58096715512813;-2.98543966288502;-24.882216597139;
16.65;-1.13920628690926;-1.56854799188273;-2.97302040695978;-24.8708730889622;
16.7;-1.14554739039177;-1.57486850827263;-2.9793425958938;-24.8782723151176;
16.75;-1.14089541792736;-1.57026248616259;-2.97473726493964;-24.8747396651861;
16.8;-1.15404676648966;-1.58341402113824;-2.98789012833464;-24.8889834471982;
16.85;-1.15182559987284;-1.58116014093807;-2.98563360972009;-24.8878257706835;
16.9;-1.15903980399974;-1.58839379703935;-2.99286638724106;-24.8961623833551;
